Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Honda, Mike;06/27/1941;D;23;;A;0;0;0;1;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
House, George;11/20/1929;R;25;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Kaloogian, Howard;12/30/1959;R;74;;A;0;0;0;1;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Keeley, Fred;05/09/1950;D;27;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Knox, Wally;02/07/1947;D;42;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Kuehl, Sheila James;02/09/1941;D;41;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Kuykendall, Steven T.;01/27/1947;R;54;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Not seek reelection;USR candidate
Leach, Lynne;01/08/1940;R;15;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Lempert, Ted;06/14/1961;D;21;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Leonard, Bill;10/29/1947;R;63;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Machado, Mike;03/12/1948;D;17;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Margett, Bob;05/08/1929;R;59;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Martinez, Diane;01/14/1953;D;49;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Termed out;
Mazzoni, Kerry;01/09/1949;D;6;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
McClintock, Tom;07/10/1956;R;38;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Migden, Carole;08/14/1948;D;13;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Miller, Gary G.;10/16/1948;R;60;;W;1;0;0;0;0;;12/01/1996;11/30/1998;On time;Not seek reelection;USR candidate
Morrissey, Jim;05/10/1930;R;69;;W;1;0;0;0;0;;12/01/1996;11/30/1998;On time;Reelection;Defeated
Morrow, Bill;04/19/1954;R;73;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Termed out;State Senate candidate
Murray, Kevin;03/12/1960;D;47;;B;0;0;1;0;0;;12/02/1996;11/30/1998;On time;Not seek reelection;State Senate candidate
Napolitano, Grace M.;12/04/1936;D;58;;H;0;1;0;0;1;;12/01/1996;11/30/1998;On time;Termed out;USR candidate
Olberg, Keith;10/29/1960;R;34;;A;0;0;0;1;0;;12/01/1996;11/30/1998;On time;Reelection;Reelected
Oller, Thomas Rico;07/16/1958;R;4;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Ortiz, Deborah V.;03/19/1957;D;9;;H;0;1;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Pacheco, Rod;05/07/1958;R;64;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Papan, Louis;08/02/1928;D;19;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Perata, Don;04/30/1945;D;16;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Not seek reelection;State Senate candidate
Poochigian, Charles;05/31/1949;R;29;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Not seek reelection;State Senate candidate
Prenter, Robert M. Jr;01/23/1965;R;30;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Defeated
Pringle, Curt;06/27/1959;R;68;;W;1;0;0;0;0;;12/01/1996;11/30/1998;On time;Termed out;
Richter, Bernie;09/07/1931;R;3;;W;1;0;0;0;0;;12/01/1996;11/30/1998;On time;Termed out;
Runner, George;03/25/1952;R;36;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Scott, Jack;08/24/1933;D;44;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Shelley, Kevin;11/16/1955;D;12;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Strom-Martin, Virginia;03/29/1948;D;1;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Sweeney, Michael;10/30/1950;D;18;;W;1;0;0;0;0;;12/01/1996;11/30/1998;On time;Not seek reelection;State Senate candidate
Takasugi, Nao;04/05/1922;R;37;;A;0;0;0;1;0;;12/01/1996;11/30/1998;On time;Termed out;
Thompson, Bruce;11/24/1953;R;66;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Thomson, Helen;06/08/1940;D;8;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Torlakson, Tom;07/19/1949;D;11;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Villaraigosa, Antonio R.;01/23/1953;D;45;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Vincent, Edward;06/23/1934;D;51;;B;0;0;1;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Washington, Carl;01/25/1965;D;52;;B;0;0;1;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Wayne, Howard;11/02/1948;D;78;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Wildman, Scott;04/12/1951;D;43;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Woods, Tom;02/01/0147;R;2;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;;
Wright, Roderick;07/03/1952;D;48;;B;0;0;1;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
